FIR_ID,caller_name,caller_num,house_id,society,area,code,victim,report_date_time,medical_help
FIR_001,John Doe,123-456-7890,1234,Maple Heights,Downtown,A123,Jane Smith,2024-03-27 10:00:00,Yes
FIR_002,Jane Doe,234-567-8901,5678,Oakwood Estates,Uptown,B456,John Smith,2024-03-27 10:15:00,No
FIR_003,Alice Johnson,345-678-9012,9876,Pine Grove,Suburb,C789,Bob Johnson,2024-03-27 10:30:00,Yes
FIR_004,Bob Smith,456-789-0123,4321,Riverfront Terrace,City Center,D012,Alice Smith,2024-03-27 10:45:00,No
FIR_005,Emily Brown,567-890-1234,8765,Hillside Gardens,Residential,E345,David Brown,2024-03-27 11:00:00,Yes
FIR_006,David Wilson,678-901-2345,2109,Sunset View,Countryside,F678,Emily Wilson,2024-03-27 11:15:00,No
FIR_007,Sarah Miller,789-012-3456,5432,Lakeside Manor,Lakefront,G901,Michael Miller,2024-03-27 11:30:00,Yes
FIR_008,Michael Johnson,890-123-4567,9876,Springfield Meadows,Suburb,H234,Sarah Johnson,2024-03-27 11:45:00,No
FIR_009,Robert Davis,901-234-5678,3210,Mountain View,Hilltop,I567,Laura Davis,2024-03-27 12:00:00,Yes
FIR_010,Laura Wilson,012-345-6789,6543,Sunrise Heights,Residential,J890,Robert Wilson,2024-03-27 12:15:00,No
FIR_011,Christopher Taylor,123-456-7890,0987,Forest Grove,Woodland,K123,Michelle Taylor,2024-03-27 12:30:00,Yes
FIR_012,Michelle Brown,234-567-8901,7654,Greenwood Park,Parkside,L234,Christopher Brown,2024-03-27 12:45:00,No
FIR_013,William Anderson,345-678-9012,2109,Meadowbrook,Fieldside,M345,Emma Anderson,2024-03-27 13:00:00,Yes
FIR_014,Emma Wilson,456-789-0123,5432,Riverside Gardens,Riverbank,N456,William Wilson,2024-03-27 13:15:00,No
FIR_015,Ava Martinez,567-890-1234,4321,Silver Oaks,Oakside,O567,Noah Martinez,2024-03-27 13:30:00,Yes
FIR_016,Noah Thompson,678-901-2345,8765,Valley View,Hillside,P678,Ava Thompson,2024-03-27 13:45:00,No
FIR_017,Sophia Garcia,789-012-3456,1098,Crescent Court,Courtside,Q789,Alexander Garcia,2024-03-27 14:00:00,Yes
FIR_018,Alexander Hernandez,890-123-4567,6543,Magnolia Gardens,Floral,M890,Sophia Hernandez,2024-03-27 14:15:00,No
FIR_019,Mia Lopez,901-234-5678,2109,Golden Ridge,Goldside,N901,James Lopez,2024-03-27 14:30:00,Yes
FIR_020,James Perez,012-345-6789,5432,Palm Grove,Palmside,O012,Mia Perez,2024-03-27 14:45:00,No
